ID,location,date,time,total,new 
4,Daegu,2020-02-28,9:00,1314,297
5,Daejeon,2020-02-28,9:00,13,5
6,Gangwon,2020-02-28,9:00,6,0
7,Gwangju,2020-02-28,9:00,9,0
8,Gyeonggi,2020-02-28,9:00,66,11
9,Gyeong-buk,2020-02-28,9:00,394,73
10,Gyeong-nam,2020-02-28,9:00,46,10
11,Incheon,2020-02-28,9:00,4,1
12,Jeju,2020-02-28,9:00,2,0
13,Jeon-buk,2020-02-28,9:00,5,2
14,Jeon-nam,2020-02-28,9:00,1,0
15,Sejong,2020-02-28,9:00,1,0
16,Seoul,2020-02-28,9:00,62,7
17,Ulsan,2020-02-28,9:00,11,5
1,Busan,2020-02-29,9:00,77,14
2,Chung-buk,2020-02-29,9:00,10,0
3,Chung-nam,2020-02-29,9:00,48,32
4,Daegu,2020-02-29,9:00,2055,741
5,Daejeon,2020-02-29,9:00,14,2
6,Gangwon,2020-02-29,9:00,7,1
7,Gwangju,2020-02-29,9:00,9,0
8,Gyeonggi,2020-02-29,9:00,76,10
9,Gyeong-buk,2020-02-29,9:00,469,75
10,Gyeong-nam,2020-02-29,9:00,59,13
11,Incheon,2020-02-29,9:00,6,2
12,Jeju,2020-02-29,9:00,2,0
13,Jeon-buk,2020-02-29,9:00,5,0
14,Jeon-nam,2020-02-29,9:00,2,1
15,Sejong,2020-02-29,9:00,1,0
16,Seoul,2020-02-29,9:00,74,12
17,Ulsan,2020-02-29,9:00,17,6
1,Busan,2020-03-01,9:00,81,4
2,Chung-buk,2020-03-01,9:00,11,1
3,Chung-nam,2020-03-01,9:00,60,12
4,Daegu,2020-03-01,9:00,2569,513
5,Daejeon,2020-03-01,9:00,13,0
6,Gangwon,2020-03-01,9:00,7,0
7,Gwangju,2020-03-01,9:00,9,0
8,Gyeonggi,2020-03-01,9:00,84,8
9,Gyeong-buk,2020-03-01,9:00,514,45
10,Gyeong-nam,2020-03-01,9:00,62,3
11,Incheon,2020-03-01,9:00,6,0
12,Jeju,2020-03-01,9:00,2,0
13,Jeon-buk,2020-03-01,9:00,5,0
14,Jeon-nam,2020-03-01,9:00,3,1
15,Sejong,2020-03-01,9:00,1,0
16,Seoul,2020-03-01,9:00,82,8
17,Ulsan,2020-03-01,9:00,17,0
1,Busan,2020-03-02,0:00,88,7
2,Chung-buk,2020-03-02,0:00,11,0
3,Chung-nam,2020-03-02,0:00,78,18
4,Daegu,2020-03-02,0:00,3081,514
5,Daejeon,2020-03-02,0:00,14,1
6,Gangwon,2020-03-02,0:00,19,12
7,Gwangju,2020-03-02,0:00,9,0
8,Gyeonggi,2020-03-02,0:00,92,8
9,Gyeong-buk,2020-03-02,0:00,624,108
10,Gyeong-nam,2020-03-02,0:00,64,2
11,Incheon,2020-03-02,0:00,7,1
12,Jeju,2020-03-02,0:00,2,0
